Year,Names,Number,Rank
2019,Niko,34,148
2019,Reign,34,148
2019,Aarav,33,154
2019,Keanu,33,154
2019,Sonny,33,154
2019,Tommy,33,154
2019,Axel,32,158
2019,Finley,32,158
2019,Mateo,32,158
2019,Alfred,31,161
2019,Cole,31,161
2019,Evan,31,161
2019,Maverick,31,161
2019,Rory,31,161
2019,Tyson,31,161
2019,Christopher,30,167
2019,Jamie,30,167
2019,Josiah,30,167
2019,Jude,30,167
2019,Lennox,30,167
2019,Peter,30,167
2019,Remy,30,167
2019,Abel,29,174
2019,Declan,29,174
2019,Malakai,29,174
2019,Odin,29,174
2019,Walter,29,174
2019,Brody,28,179
2019,Dominic,28,179
2019,Jonathan,28,179
2019,Julian,28,179
2019,Mohammed,28,179
2019,Cyrus,27,184
2019,Hugh,27,184
2019,Ian,27,184
2019,Kyrie,27,184
2019,Leonardo,27,184
2019,Rowan,27,184
2019,Zane,27,184
2019,Aidan,26,191
2019,Anthony,26,191
2019,Brooklyn,26,191
2019,Cairo,26,191
2019,Chase,26,191
2019,Elliott,26,191
2019,Taylor,26,191
2019,Ali,25,198
2019,Cameron,25,198
2019,Enzo,25,198
2019,Lukas,25,198
2019,Rico,25,198
2019,Rocco,25,198
2019,Ted,25,198
2019,Tom,25,198
2019,Albie,24,206
2019,Casey,24,206
2019,Jai,24,206
2019,Kyle,24,206
2019,Reef,24,206
2019,Reid,24,206
2019,Richard,24,206
2019,Rylan,24,206
2019,Silas,24,206
2019,Te Ariki,24,206
2019,Hendrix,23,216
2019,Jaxson,23,216
2019,Lochlan,23,216
2019,Monty,23,216
2019,Tevita,23,216
2019,Van,23,216
2019,Victor,23,216
2019,Francis,22,223
2019,Kade,22,223
2019,Knox,22,223
2019,Lorenzo,22,223
2019,Maximus,22,223
2019,Nate,22,223
2019,Onyx,22,223
2019,Ryker,22,223
2019,Taika,22,223
2019,Albert,21,232
2019,Ariki,21,232
2019,Christian,21,232
2019,Hayden,21,232
2019,Ivan,21,232
2019,Jay,21,232
2019,Jonty,21,232
2019,Maddox,21,232
2019,Marley,21,232
2019,Timothy,21,232
2019,Benji,20,242
2019,Hamish,20,242
2019,Nicholas,20,242
2019,Otto,20,242
2019,Tate,20,242
2019,Zac,20,242
2019,Cody,19,248
2019,Emmett,19,248
2019,Huxley,19,248
2019,Judah,19,248
2019,Junior,19,248
2019,Kairo,19,248
2019,Kauri,19,248
2019,Kian,19,248
2019,Miller,19,248
2019,Myles,19,248
2019,Rawiri,19,248
